,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
138,2021-07-21,49249.5,50113.98828125,49249.5,50035.171875,93416700,0.0,0.0
139,2021-07-22,50081.4609375,50340.1484375,49861.69140625,50240.51171875,108111900,0.0,0.0
140,2021-07-23,50324.5703125,50397.109375,50098.55859375,50268.44921875,59065400,0.0,0.0
141,2021-07-26,50317.5703125,51140.3515625,50290.83984375,50897.7890625,104723700,0.0,0.0
142,2021-07-27,50926.171875,51041.12109375,50606.12890625,50910.53125,144956000,0.0,0.0
143,2021-07-28,50949.96875,51366.96875,50890.44921875,51344.109375,118638300,0.0,0.0
144,2021-07-29,51393.26171875,51856.6796875,51282.66015625,51634.6015625,176416800,0.0,0.0
145,2021-07-30,51516.66015625,51516.66015625,50783.44921875,50868.3203125,195832800,0.0,0.0
146,2021-08-02,50983.80078125,51306.3515625,50795.8984375,50869.48046875,121946900,0.0,0.0
147,2021-08-03,50872.26171875,51695.23046875,50669.76953125,51633.91015625,175698100,0.0,0.0
148,2021-08-04,51611.28125,51612.53125,50982.2890625,51195.4296875,128723600,0.0,0.0
149,2021-08-05,51224.171875,51441.55078125,50977.62890625,51134.9296875,126826300,0.0,0.0
150,2021-08-06,51028.76171875,51392.7109375,51018.83984375,51113.8515625,118829900,0.0,0.0
151,2021-08-09,51085.94921875,51131.19921875,50806.23828125,50900.4609375,117862700,0.0,0.0
152,2021-08-10,50988.26953125,51263.48828125,50817.7890625,51114.16015625,109661500,0.0,0.0
153,2021-08-11,51192.91015625,51399.80078125,51068.03125,51311.6015625,122163000,0.0,0.0
154,2021-08-12,51292.83984375,51293.05078125,51000.12109375,51049.69140625,126606700,0.0,0.0
155,2021-08-13,51103.5703125,51529.0703125,51022.76953125,51490.94140625,100725100,0.0,0.0
156,2021-08-16,51380.05078125,51563.671875,51094.73046875,51384.91015625,88687600,0.0,0.0
157,2021-08-17,51413.62890625,51634.48046875,51177.55859375,51576.578125,208406000,0.0,0.0
158,2021-08-18,51592.37890625,52082.5390625,51350.171875,51986.078125,194605400,0.0,0.0
159,2021-08-19,51809.98828125,51809.98828125,50776.98828125,51099.359375,155079600,0.0,0.0
160,2021-08-20,51256.25,51593.33984375,50985.80078125,51414.3203125,127164900,0.0,0.0
161,2021-08-23,51429.8984375,52227.91015625,51429.8984375,52054.640625,112278800,0.0,0.0
162,2021-08-24,52022.73046875,52360.98828125,51895.28125,51985.0,136483500,0.0,0.0
163,2021-08-25,52193.71875,52381.390625,51946.51171875,52345.390625,123767400,0.0,0.0
164,2021-08-26,52284.26171875,52420.05859375,51944.5,52290.69140625,154050900,0.0,0.0
